"","baker_name","baker_age","baker_occupation","hometown","series","episode","signature_bake","show_stopper","technical","result","baker"
"133","James Morton",21,"Medical student","Hillswick, Shetland Islands",3,4,"Hazelnut, Chocolate and Passionfruit Torte","Fig, Chestnut, Cherry and Chocolate Layered Meringue",5,"IN","James"
"134","John Whaite",22,"Law student","Wigan",3,4,"'Torte Noir' Black Forest Torte with Boozy Cream","Elderflower and Bramble Berry Pavlova",6,"IN","John"
"135","Manisha Parmar",27,"Nursery nurse","Leicester",3,4,"Almond, Chocolate and Cherry Torte","Tiramisu Layered Meringue Dessert",9,"IN","Manisha"
"136","Ryan Chong",38,"Photographer","Bristol",3,4,"Green Tea Opera Torte","Strawberry, Rose and Pistachio Meringue",7,"IN","Ryan"
"137","Stuart Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",3,4,"Black Forest Torte","Choca Blocka Mocha Meringue",8,"OUT","Stuart"
"138",NA,NA,NA,NA,3,4,"Chocolate and Almond Truffle Torte","Hazelnut Tiramisu Layered Meringue",4,"IN","Sarah-Jane"
"139","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield",3,5,"Salmon Coulibiac in a Scandinavian Pastry","All American Chiffon Pie",3,"IN","Brendan"
"140","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex",3,5,"Full English Wellington","Chocolate and Peanut Butter Pumpkin Pie",1,"IN","Cathryn"
"141","Danny Bryden",45,"Intensive care consultant","Sheffield",3,5,"Chickpea, Spinach & Mushroom Wellington","Trick or Treat Pumpkin Pie",7,"IN","Danny"
"142","James Morton",21,"Medical student","Hillswick, Shetland Islands",3,5,"Four Pig Wellington","Sweet Potato Pie",6,"IN","James"
"143","John Whaite",22,"Law student","Wigan",3,5,"Venison and Haggis Wellington","Star-Spangled Pecan Pie",2,"IN","John"
"144","Manisha Parmar",27,"Nursery nurse","Leicester",3,5,"Lamb Wellington with Rosemary and Mint","Banana Scotch Pie",5,"OUT","Manisha"
"145","Ryan Chong",38,"Photographer","Bristol",3,5,"Curry Spiced Seabass Wellington","Key Lime Pie",8,"STAR BAKER","Ryan"
"146",NA,NA,NA,NA,3,5,"Beef Wellington with Parma Ham and Gorgonzola Cheese","Chocolate and Banana Cream Pie",4,"IN","Sarah-Jane"
"147","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield",3,6,"Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel",1,"STAR BAKER","Brendan"
"148","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex",3,6,"Chocolate Walnut Whip Puddings
Elderflower Sponges","Roasted Vegetable Couscous and Sheep Cheese Strudel",3,"IN","Cathryn"
"149","Danny Bryden",45,"Intensive care consultant","Sheffield",3,6,"Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants","Leek, Potato, Pistachio and Gruyère Strudel",2,"IN","Danny"
"150","James Morton",21,"Medical student","Hillswick, Shetland Islands",3,6,"Banana and Clove PuddingsClootie Dumplings","Strawberry, Rhubarb and Ginger Strudel",7,"IN","James"
"151","John Whaite",22,"Law student","Wigan",3,6,"Spicy Toffee PuddingsRaspberry and White Chocolate Puddings","Did not complete due to injury",5,"IN","John"
"152","Ryan Chong",38,"Photographer","Bristol",3,6,"Chocolate FondantsSticky Ginger and Date Puddings","Apple, Sour Cherry, Raisin and Mixed Nuts Strudel",6,"IN","Ryan"
"153",NA,NA,NA,NA,3,6,"Sticky Toffee PuddingsGranny's Saucy Lemon Puddings","Sweet Strudel with Sour Cherries",4,"IN","Sarah-Jane"
"154","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield",3,7,"Chelsea Bunskis","Black Forest Christmas Stollen",4,"IN","Brendan"
"155","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex",3,7,"Lady Arundel's Manchet Buns","Bonfire Night Tear 'n' Share Brioche",5,"IN","Cathryn"
"156","Danny Bryden",45,"Intensive care consultant","Sheffield",3,7,"Bakewell Chelsea Buns","European Christmas Wreath",2,"STAR BAKER","Danny"
"157","James Morton",21,"Medical student","Hillswick, Shetland Islands",3,7,"Easter Chelsea Buns","Whisky Kugelhopf-Brioche Baba",1,"IN","James"
"158","John Whaite",22,"Law student","Wigan",3,7,"Cherry and Almond Saffron Buns","Marzipan Stollen",3,"IN","John"
"159","Ryan Chong",38,"Photographer","Bristol",3,7,"Lardy Cakes","Char Siu Bao",6,"OUT","Ryan"
"160",NA,NA,NA,NA,3,7,"Orange, Nutmeg and Saffron Buns","Sour Cherry and Dark Chocolate Christmas Plait",7,"OUT","Sarah-Jane"
"161","Brendan Lynch",63,"Recruitment consultant","Sutton Coldfield",3,8,"Multi-Seed Savoury Crackers","Fantasy Gingerbread Bird House",2,"IN","Brendan"
"162","Cathryn Dresser",27,"Shop assistant","Pease Pottage, West Sussex",3,8,"Cheese and Pickle Crackers","Gingerbread Buckingham Palace",5,"OUT","Cathryn"
"163","Danny Bryden",45,"Intensive care consultant","Sheffield",3,8,"Spiced Almond Drinks Crackers","Gingerbread Big Ben",4,"IN","Danny"
